full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
28974.0,440111,23.237876,113.276229,commercial,,15025.0,1.9283860232945091,852.0,,,3848.55,2026-09-18,2024-05-19,35000.0
4311.87,440112,23.155541,113.435826,public,1.0,2340.0,1.8426794871794872,550.0,,78409.0,3712.090909090909,2024-05-10,2022-11-07,2840.0
12875.08,440113,23.00568,113.40933,commercial,1.0,7213.9,1.7847599772661114,488.0,,81755.0,3872.15,2025-01-30,2023-09-30,6000.0
103476.91,440113,22.981375,113.354427,residential,4.0,,,579.0,,,3848.55,2025-12-29,2024-05-29,20693.63
1870.43,440114,23.384877,113.209285,mixed use,1.0,328.0,5.702530487804879,223.0,,,3848.55,2024-12-30,2024-05-21,1113.33
75008.0,440112,23.142631,113.52984,residential,,75008.0,1.0,1187.0,,,3848.55,2027-08-07,2024-05-07,3000.0
2050.0,440118,23.286674,113.620972,industrial,1.0,,,365.0,,,3795.3333333333335,2025-03-29,2024-03-29,2000.0
3940.0,440103,23.070591,113.207547,industrial,1.0,4758.94,0.8279154601654991,0.0,,78409.0,3974.619047619048,2022-07-07,2022-07-07,15201.0
89065.97,440114,23.395586,113.07156,industrial,3.0,32765.01,2.7183257383409924,548.0,,,3848.55,2025-11-29,2024-05-30,41000.0
15347.04,440113,23.020711,113.372763,commercial,1.0,5689.0,2.7,370.0,,,3768.15,2025-04-14,2024-04-09,5600.0
4970.0,440113,22.944729,113.484501,industrial,1.0,4970.0,1.0,285.0,,,3795.3333333333335,2024-12-30,2024-03-20,12168.0
46700.25,440114,23.537405,113.541773,industrial,3.0,12354.13,3.7801326358068112,548.0,,,3848.55,2025-11-29,2024-05-30,12000.0
2935.77,440113,22.973767,113.498858,supporting facilities,1.0,,,300.0,,,4064.818181818182,2024-11-05,2024-01-10,1710.62
11398.33,440113,22.957351,113.275891,commercial,2.0,4559.33,2.500001096652359,365.0,,,3795.3333333333335,2025-03-30,2024-03-30,1500.0
25333.0,440118,23.196714,113.835612,industrial,1.0,20000.0,1.26665,274.0,,,3795.3333333333335,2024-12-30,2024-03-31,6000.0
6044.6,440104,23.11036,113.296897,residential,1.0,,,365.0,,,3768.15,2025-04-30,2024-04-30,3154.0
7720.0,440112,23.075734,113.530245,industrial,1.0,,,549.0,,,3848.55,2025-11-27,2024-05-27,13300.0
